name,words
철강,"['동일철강', '화인베스틸', '동국제강', '한국선재', 'NI스틸', '동국산업', '한국특수형강', '영흥', '삼현철강', '대창스틸', 'DSR제강', '한국철강', '세아제강', '동일제강', 'POSCO', '동양철관', '경남스틸', '현대제철', '대호피앤씨우', '광진실업', '금강철강', '세아제강지주', '신화실업', '대호피앤씨', '대동스틸', '세아특수강', '원일특강', '만호제강', '휴스틸', '문배철강', '포스코엠텍', '동양에스텍', 'TCC스틸', '한국주철관', '세아베스틸', '부국철강', '글로스퍼랩스', '동일산업', '조선선재', '하이스틸', '고려제강', 'KG동부제철우', 'KISCO홀딩스', '제일제강', '한일철강', '세아홀딩스', 'KG동부제철', '대한제강', '유에스티', '한국주강', 'CS홀딩스']"
종이와목재,"['성창기업지주', '깨끗한나라', '무림P&P', '버추얼텍', '깨끗한나라우', '페이퍼코리아', '한솔홀딩스', '국일제지', '무림SP', '한솔제지', '한솔PNS', '무림페이퍼', '컨버즈', '영풍제지', '선창산업']"
가스유틸리티,"['대성홀딩스', 'SK가스', '대성에너지', 'E1', '경동도시가스', '한국가스공사', '예스코홀딩스', '서울가스', '부산가스', '한진중공업홀딩스', '인천도시가스', '지에스이', '삼천리']"
건강관리장비와용품,"['클래시스', '이오플로우', '지노믹트리', '젠큐릭스', '오스테오닉', '나이벡', '엘앤케이바이오', '디오', '이루다', '제놀루션', '셀바스헬스케어', '루트로닉', '덴티스', '루트로닉3우C', '메디아나', '한국비엔씨', '피제이전자', '마이크로디지탈', '셀바스AI', '아이센스', '원익', '제테마', '이노테라피', '메타바이오메드', '코렌텍', '레이언스', '인트로메딕', '제노레이', '인바디', '오스템임플란트', '셀루메드', '유앤아이', '솔고바이오', '인터로조', '제이브이엠', '디알텍', '리메드', '신흥', '뷰웍스', '바텍', '세운메디칼', '휴비츠', '세종메디칼', '하이로닉', '디알젬', '레이', '한스바이오메드', '덴티움', '수젠텍', '아스타', '시너지이노베이션', '멕아이씨에스', '엘앤씨바이오', '네오펙트', '녹십자엠에스', '엠아이텍', '지티지웰니스']"
증권,"['한양증권우', '미래에셋대우', 'SK증권우', '삼성증권', '한화투자증권우', '미래에셋대우2우B', 'SK증권', '유안타증권우', '코리아에셋투자증권', '한양증권', '미래에셋대우우', 'NH투자증권우', '상상인증권', '현대차증권', '한화투자증권', '키움증권', 'KTB투자증권', '유화증권우', '유진투자증권', '대신증권', '유안타증권', '대신증권2우B', '대신증권우', 'DB금융투자', '부국증권', 'NH투자증권', '교보증권', '부국증권우', '신영증권우', '한국금융지주', '메리츠증권', '이베스트투자증권', '다우데이타', '한국금융지주우', '신영증권', '유화증권']"
전기제품,"['아비코전자', '에스피지', '두산퓨얼셀', '피에스텍', '두산퓨얼셀1우', '서울전자통신', '명성티엔에스', '삼성SDI', '에스퓨얼셀', '에스씨디', '에코프로비엠', '두산퓨얼셀2우B', '삼화전기', '성문전자', '대보마그네틱', '삼성SDI우', '신흥에스이씨', '상아프론테크', '동양이엔피', '파워로직스', '필룩스', '삼영전자', '삼화콘덴서', '크로바하이텍', '성문전자우', '신화콘텍', '성호전자', '엘앤에프', '비츠로셀', '이노메트리', '뉴인텍', '에이에프더블류', '피앤이솔루션', '엔에스', '피엔티', '씨아이에스', '파워넷', '디피씨', '엠플러스', '디에이테크놀로지']"
기계,"['에이테크솔루션', '디와이파워', '조광ILI', 'KC코트렐', '뉴로스', '우진', '에버다임', '대창단조', '동국S&C', '이엠코리아', '에너토크', '유니슨', '에코마이스터', '씨에스윈드', '삼영엠텍', '원방테크', '넥스턴', '두산인프라코어', '프리엠스', '두산중공업', '웰크론한텍', 'KC그린홀딩스', '씨에스베어링', '아세아텍', '포메탈', '태웅', '수산중공업', '디와이', '대동공업', 'SIMPAC', '테라사이언스', '화천기계', '비에이치아이', '신진에스엠', '에이치케이', '동양물산', '현대건설기계', 'S&TC', '태광', '제이엔케이히터', '삼익THK', '자비스', '하이록코리아', '휴림로봇', '에이비프로바이오', '스페코', '우림기계', '성광벤드', '알에스오토메이션', '대모', '흥국', '혜인', '에쎈테크', '에스엠코어', '디케이락', '큐로', '화천기공', '대동기어', '스맥', '한국테크놀로지', '코메론', '부스타', '와이지-원', '디에스티', '우진플라임', '3S', '현대로템', '디와이피엔에프', '강원', '스타모빌리티', '티에스아이', '에스피시스템스', '비엠티', '화성밸브', '에이프로젠 KIC', '광림', '진성티이씨', '엔케이', 'TPC', '영풍정밀', '현대엘리베이', '코윈테크', '대창솔루션', '케이피에프', '두산밥캣', '한신기계', '이엔플러스', '서암기계공업', '에스에프에이', '동일금속', '로보스타', '나라엠앤디', '수성', '이더블유케이', '기신정기', '비디아이', '에이치엘비파워', '한국정밀기계', '파라텍', '맥스로텍']"
화장품,"['세화피앤씨', '잉글우드랩', '글로본', 'LG생활건강우', '잇츠한불', '코스메카코리아', 'CSA 코스믹', 'LG생활건강', '아모레퍼시픽우', '라파스', '한국화장품제조', '본느', '제닉', '아우딘퓨쳐스', '토니모리', '씨티케이코스메틱스', '코리아나', '컬러레이', '아모레G우', '아모레G', '아모레퍼시픽', '아모레G3우(전환)', '리더스코스메틱', '네오팜', '한국콜마홀딩스', '현대바이오', '블러썸엠앤씨', 'SK바이오랜드', '폴루스바이오팜', '에이씨티', '한국화장품', '스킨앤스킨', '에이블씨엔씨', '씨큐브', '클리오', '코스맥스', '애경산업', '한국콜마', '코디', '아이큐어', '제이준코스메틱', '올리패스', '코스온', 'MP한강', '에프앤리퍼블릭', '에스디생명공학', '오가닉티코스메틱']"
카드,['삼성카드']
창업투자,"['아주IB투자', 'SV인베스트먼트', 'DSC인베스트먼트', '린드먼아시아', '리더스 기술투자', '하나금융16호스팩', '한화에스비아이스팩', '대신밸런스제6호스팩', '신한제6호스팩', '하나금융14호스팩', '에이티넘인베스트', '컴퍼니케이', 'TS인베스트먼트', '큐캐피탈', '대신밸런스제7호스팩', '미래에셋대우스팩3호', '케이비제18호스팩', '엔에이치스팩13호', 'DB금융스팩7호', '유안타제5호스팩', '이베스트스팩5호', '신한제5호스팩', '교보10호스팩', '신영스팩5호', '엔에이치스팩17호', '에이치엠씨제4호스팩', 'IBKS제13호스팩', '상상인이안제2호스팩', 'IBKS제14호스팩', 'SK5호스팩', '신영스팩6호', '미래에셋대우스팩4호', '케이비제20호스팩', 'IBKS제12호스팩', '하나금융15호스팩', '하이제5호스팩', '유안타제6호스팩', '이베스트이안스팩1호', '교보8호스팩', '하나머스트제6호스팩', 'SK4호스팩', 'IBKS제10호스팩', '삼성스팩2호', '한국제7호스팩', '유안타제3호스팩', '케이프이에스제4호', '우리기술투자', '상상인이안1호스팩', '유진스팩4호', '한국제8호스팩', '엔에이치스팩14호', '교보9호스팩', '유안타제4호스팩', '삼성머스트스팩3호', '하이제4호스팩', '케이비제19호스팩', '유진스팩5호', '키움제5호스팩', '한화플러스제1호스팩', '케이비17호스팩', 'SK6호스팩', '엔에이치스팩15호', '엔에이치스팩16호', '대신밸런스제8호스팩', '대성창투', '미래에셋벤처투자', 'IBKS제11호스팩', 'SBI인베스트먼트', '나우IB', '미래에셋대우스팩 5호', '엠벤처투자']"
석유와가스,"['SK디스커버리', 'SK디스커버리우', 'S-Oil', 'SK이노베이션', '중앙에너비스', 'GS', '대한그린파워', '위즈코프', 'S-Oil우', 'GS우', '극동유화', '현대중공업지주', '에스아이리소스', '미창석유', '대성산업', '세원셀론텍', 'SK이노베이션우', '경동인베스트', '한국쉘석유', '흥구석유', '이아이디']"
도로와철도운송,"['천일고속', 'SK렌터카', '유성티엔에스', 'AJ네트웍스', '동양고속', '레드캡투어']"
백화점과일반상점,"['광주신세계', '세이브존I&C', 'JTC', '롯데쇼핑', '이마트', 'BGF리테일', '베뉴지', '대구백화점', '현대백화점', '신세계', 'GS리테일', 'BGF']"
담배,['KT&G']
컴퓨터와주변기기,"['주연테크', '메디프론', '에이텍', '에이텍티앤', '파커스', '아이디피', '에이루트', '푸른기술', '디지아이', '센트럴인사이트', '딜리', '한프', '엠젠플러스', '잉크테크', '빅솔론', '우리로', '씨아이테크', '한국정보공학', '피씨디렉트', '케이씨티']"
교육서비스,"['UCI', '이퓨쳐', '메가스터디교육', '디지털대성', '멀티캠퍼스', '정상제이엘에스', '메가스터디', '로보티즈', '청담러닝', '비상교육', '더블유에프엠', '대교우B', '씨엠에스에듀', '대교', '로보로보', '아이스크림에듀', 'NE능률', 'YBM넷', '메가엠디', '웅진씽크빅']"
