name,words
큐브엔터,"['오디오물 출판 및 원판 녹음업', '음반음원, 콘서트, 아티스트매니지먼트', '방송과엔터테인먼트', '엔터', '큐브', '경제', '지엠피', '브이', '음원', '중국']"
두산건설,"['경제', '계약', '수주', '서울', '개발', '기자', '공사']"
삼부토건,"['토목 건설업', '토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조', '건설', '토건', '경제', '영업', '건설', '전환', '경영', '종합']"
동양철관,"['1차 철강 제조업', '수도용 도복장 강관,주물(강관말뚝),가스관 제조/아파트건설', '철강', '동양', '철관', '경제', '외국인', '기관', '강관', '공급']"
하나투어,"['여행사 및 기타 여행보조 서비스업', '일반여행알선,컴퓨터프로그램 개발,보급,통신판매', '호텔,레스토랑,레저', '투어', '여행', '경제', '코로나', 'IMM', 'PE', '적자']"
세화아이엠씨,"['특수 목적용 기계 제조업', '타이어 금형, 타이어 제조설비', '자동차부품', '세화', '아이', '타이어', '경제', '업체', '이엠씨', '기업']"
디케이앤디,"['플라스틱제품 제조업', '합성피혁 및 부직포', '섬유,의류,신발,호화품', '앤디', '디케이', '피혁', '합성', '생산', '제품', '공장']"
페이퍼코리아,"['펄프, 종이 및 판지 제조업', '제지(신문용지,중질지),합판 제조,건설,석유류 판매', '종이와목재', '코리아', '페이퍼', '경제', '차트', '한경', '감자', '데일리']"
케이알피앤이,"['알피', '케이', '에너지', '그린', '풍력', '발전', '대한']"
기산텔레콤,"['통신 및 방송 장비 제조업', '광모듈, 에코 켄슬러, 중계기, VoIP Server등', '통신장비', '텔레콤', '기산', '경제', '전일', '상승', '기사']"
엔지켐생명과학,"['기초 의약물질 및 생물학적 제제 제조업', 'EC-18(신약), 원료의약품', '제약', '과학', '생명', '엔지', '코로나', 'EC', '치료제', '임상']"
파트론,"['전자부품 제조업', '이동통신안테나및유전체필터류등', '핸드셋', '파트', '분기', '카메라', '연구원', '올해', '모듈', '경제']"
송원산업,"['기타 화학제품 제조업', '폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조', '화학', '경제', '산업', '송원', '기관', '외국인', '만주', '상승']"
덱스터,"['영화, 비디오물, 방송프로그램 제작 및 배급업', '시각효과(Visual Effect, VFX)', '방송과엔터테인먼트', '영화', '경제', '제작', 'VFX', '백두산', '수익', '스튜디오']"
심텍,"['전자부품 제조업', '반도체용 인쇄회로기판', '전자장비와기기', '심', '경제', '분기', '영업', '유상', '증자', '규모']"
유엔젤,"['자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업', '소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급', 'IT서비스', '유엔', '경제', '외국인', '만주', '분기', '영업', '흑자']"
삼성제약,"['의약품 제조업', '의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매', '제약', '경제', '뉴스', '이익', '영업', '매수', '만주', '외국인']"
YBM넷,"['교육지원 서비스업', '온라인교육, 수수료수입 등', '교육서비스', 'YBM', '경제', '교육', '뉴스', '온라인', '코로나', '외국인']"
동화기업,"['나무제품 제조업', 'PB, MDF, 표면재,온돌마루, 창호, 도어 등', '건축자재', '경제', '기업', '뉴스', '공장', '전해액', '처분', '분야']"
녹십자홀딩스,"['회사 본부 및 경영 컨설팅 서비스업', '알부민,유로키나제,간염백신,유행성출혈열백신 제조', '제약', '홀딩스', '경제', '녹십자', '차트', '한경', '재무', '테마']"
SFA반도체,"['반도체 제조업', '반도체패키지(SOP,DIP,QFP)', '반도체와반도체장비', '경제', 'SFA', '반도체', '매수', '만주', '외국인', '영업']"
코스맥스엔비티,"['기타 식품 제조업', '건강기능식품', '제약', '맥스', '코스', '비티', '경제', '기능', '식품', '건강']"
현대건설,"['토목 건설업', '공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스', '기계', '있', '스테이트', '경제', '수주', '건설', '분양', '개발']"
한창제지,"['펄프, 종이 및 판지 제조업', '마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입', '포장재', '제지', '경제', '한경', '중기', '외국인', '뉴스', '만주']"
에스앤에스텍,"['전자부품 제조업', '블랭크마스크', '반도체와반도체장비', '경제', '에스', '스텍', '외국인', '만주', '영업', '기관']"
이노와이어리스,"['통신 및 방송 장비 제조업', '통신용 시험 및 계측장비', '통신장비', '와이어리스', '이노', '경제', '스몰', '한국', '인도', '장비']"
한국바이오젠,"['합성고무 및 플라스틱 물질 제조업', '실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)', '화학', '바이오', '경제', '아시아', 'MQ', '레진', '기사', '전환']"
평화산업,"['자동차 신품 부품 제조업', '자동차부품(방진고무,방류고무(COVER류,CUP류),호스류),장비시설용 부품 제조,판매', '자동차부품', '평화', '산업', '경제', '외국인', '만주', '대량', '자동차']"
오스코텍,"['의약품 제조업', '뼈이식재,건강식품소재', '생물공학', '오스코', '효능', '임상', '환자', '투약', '경제', '완료']"
SK,"['기타 금융업', '지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매', '화학', '경제', '이노베이션', '그룹', '배터리', '사회', '기업', '회장']"
앤디포스,"['플라스틱제품 제조업', 'TSP용 양면 테이프, 윈도우 필름', '핸드셋', '포스', '앤디', '코로나', '개발', '진단', '치료제', '인증']"
광동제약,"['의약품 제조업', '의약품,식음료 제조,도매', '제약', '광동', '제약', '경제', '경영', '비타', '수', '넥스']"
두산중공업,"['일반 목적용 기계 제조업', '기관,터어빈,선박용엔진,주단조품,제강제품 제조/종합건설', '기계', '두산', '공업', '산중', '중공업', '경제', '지원', '발전']"
웹케시,"['소프트웨어 개발 및 공급업', '에스이알피, 브랜치, 인하우스', '소프트웨어', '시', '경리', '나라', '업무', '관리', '기업', '핀테크']"
동아쏘시오홀딩스,"['기타 금융업', '의약품(피로회복제/박카스,병원용의약품),비의약품(의료기기,염모제,가글제) 제조,도소매/화장품 생산', '제약', '홀딩스', '동아', '경제', '영업', '이익', '헤럴드', '데일리']"
티웨이항공,"['항공 여객 운송업', '저가 항공운송', '항공사', '경제', '노선', '운항', '취항', '항공', '코로나', '항공기']"
JYP Ent.,"['오디오물 출판 및 원판 녹음업', '오디오물 출판 및 원판 녹음 관련 제품', '방송과엔터테인먼트', 'JYP', '경제', '일본', '엔터', '코로나', 'Ent', '영업']"
알에프텍,"['통신 및 방송 장비 제조업', '핸드폰 충전기, 핸즈프리', '핸드셋', '에프', '바이오', '경제', '균주', '툴리', '분리', '벌꿀']"
동부건설,"['토목 건설업', '건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역', '건설', '경제', '공사', '수주', '트레빌', '센', '영업', '주택']"
티엘아이,"['반도체 제조업', 'LCDTV및모니터용TimingController', '디스플레이장비및부품', '아이', '티엘', '경제', '정배', '상승세', '외국인', '기관']"
KR모터스,"['그외 기타 운송장비 제조업', '이륜차(오토바이) 제조,도매', '자동차', '모터스', 'KR', '경제', '중국', '생산', '모델', 'GV']"
올리패스,"['기초 의약물질 및 생물학적 제제 제조업', '인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발', '화장품', '패스', '올리', '개발', '경제', '치료제', '임상', '기관']"
피델릭스,"['반도체 제조업', 'PSRAM 및 LPSDRAM', '반도체와반도체장비', '피델', '릭스', '경제', '외국인', '기사', '단기', '한국']"
웰크론,"['직물직조 및 직물제품 제조업', '기능성 침구용품, 크리너, 필터, 방탄·방검복', '기계', '크론', '경제', '세사', '외국인', '제품', '마스크', '기관']"
명성티엔에스,"['특수 목적용 기계 제조업', '2차전지 분리막 제조설비, 디스플레이용 생산설비', '전기제품', '명성', '에스', '전지', '경제', '외국인', '개발', '제조']"
CJ씨푸드,"['기타 식품 제조업', '수산물(어묵,맛살)가공품 도매,원양수산업,수출입', '식품', '푸드', 'CJ', '경제', '영업', '매수', '매출액', '외국인']"
메지온,"['자연과학 및 공학 연구개발업', '발기부전증치료제, 전립선비대증치료제', '제약', '메지', '심장', '임상', '경제', '시험', '유데나필', 'FUEL']"
서원,"['금속 주조업', '비철금속(황동 빌레트,인코트) 제조,재생원료생산', '핸드셋', '경제', '차트', '기관', '만주', '영업', '뉴스', '기자']"
두산솔루스,"['전자부품 제조업', '동박, 유압기기 등', '전자장비와기기', '두산', '루스', '경제', '지박', '투자', '매각', '그룹']"
서연,"['기타 금융업', '자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매', '자동차부품', '경제', '차트', '영업', '분기', '전환', '뉴스', '공시']"
크라운해태홀딩스,"['기타 금융업', '비스켓,쵸코렛,사탕,웨이퍼 제조,도매', '식품', '경제', '크라운', '홀딩스', '해태', '만주', '외국인', '매수']"
한국유니온제약,"['의약품 제조업', '항생제, 순환기계, 근골격계, 소화기계류 완제의약품', '제약', '제약', '유니온', '경제', '외국인', '순매도', '뉴스', '영업']"
한국화장품,"['생활용품 도매업', '화장품', '화장품', '화장품', '경제', '외국인', '매수', '만주', '단기', '기관']"
이노인스트루먼트,"['통신 및 방송 장비 제조업', '기업 인수 합병', '통신장비', '인스트', '이노', '트', '경제', '차트', '외국인', '제품']"
인성정보,"['컴퓨터 프로그래밍, 시스템 통합 및 관리업', '넷트워크 관련 장비 및 솔루션', '통신장비', '정보', '인성', '경제', '한경', '외국인', '원격', '기사']"
코스맥스비티아이,"['기타 금융업', '화장품,의약부외품 제조,도매', '제약', '비티', '맥스', '코스', '아이', '경제', '영업', '분기']"
신흥에스이씨,"['일차전지 및 축전지 제조업', '2차전지용 안전 부품(Cap Assembly, CID)', '전기제품', '신흥', '경제', '기자', '데일리', '대비', '헝가리', '법인']"
GST,"['특수 목적용 기계 제조업', 'GasScrubber,Chiller', '반도체와반도체장비', '경제', '외국인', '투자', '만주', '뉴스', '이익', '영업']"
티라유텍,"['소프트웨어 개발 및 공급업', '스마트팩토리 솔루션', 'IT서비스', '라유', '경제', '솔루션', '스마트', '법인', '팩토리', '합작']"
